fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 200008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	804409	0.224419481777307	0.961616906108149	7410	674	9626	25550000	87
20221001 200041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	804409	0.110613735404779	0.205479429439269	7989	975	7192	25140000	88
20221001 200058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	804409	0.145749067130568	0.675117505864054	3490	844	10087	25430000	89
20221001 200126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	804409	0.157658143274471	0.749649190482683	7521	882	7834	26180000	90
20221001 200147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	804409	0.198249199916521	0.937370752786473	5054	415	10167	25990000	91
20221001 200210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	804409	0.142890759053376	0.745379976273887	6401	329	10897	26050000	92
20221001 200316	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	356	TRUE	804409	0.0830738186578581	0.659727422385849	5119	981	8904	26760000	93
20221001 200340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	804409	0.218629666909588	0.592213026059046	1885	467	7751	25380000	94
20221001 200445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	278	TRUE	804409	0.0901643350364023	0.332138394958526	4850	923	9313	27140000	95
20221001 200502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	804409	0.270751353967227	0.732420654492266	5622	515	10819	25170000	96
20221001 200545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	804409	0.166507214083814	0.203161850576289	302	308	7254	24620000	97
20221001 200633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	804409	0.189473700977748	0.911677540287748	1052	342	10597	25370000	98
20221001 200701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	804409	0.207505580451136	0.393198212920874	6034	851	8382	25240000	99
20221001 200722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	804409	0.176653169490803	0.88404046401307	2096	612	9926	25670000	100
20221001 201321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1172	TRUE	804409	0.00518902315697749	0.759983183038235	4943	175	8771	26380000	101
20221001 201356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	804409	0.16454447757387	0.299475829187408	829	308	8712	26260000	102
20221001 201434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	804409	0.111526653754556	0.691869986834191	1213	769	10477	26970000	103
20221001 201730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	470	TRUE	804409	0.0138196913766302	0.357954891686887	4293	263	8035	26730000	104
20221001 201752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	804409	0.18248604055144	0.204703928991407	5032	289	7503	25880000	105
20221001 201835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	804409	0.0502937191771972	0.775588147644512	4533	756	7731	26140000	106
20221001 201900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	804409	0.245340391412668	0.881113872423954	7833	374	9784	26520000	107
20221001 201934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	804409	0.178141031285428	0.44699674943611	6623	405	9407	25990000	108
20221001 202002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	804409	0.284975087759462	0.509143083226494	6255	78	8093	25660000	109
20221001 202041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	804409	0.172041876537168	0.89501346061267	6002	535	10746	26110000	110
20221001 202115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	804409	0.109335665176108	0.945606645162404	6555	112	10079	26490000	111
20221001 202134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	804409	0.255920731111012	0.916143320266902	3231	80	7888	24870000	112
20221001 202210	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	804409	0.250633809490466	0.350626786408387	7978	896	8980	26200000	113
20221001 202259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	804409	0.0689398299922293	0.614354441383295	2317	799	8117	26090000	114
20221001 202326	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	804409	0.1606168146738	0.919016154020093	1546	222	7627	25710000	115
20221001 202454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182	TRUE	804409	0.0162109403462068	0.324245870914683	546	46	10513	26740000	116
20221001 202551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	804409	0.194530668394234	0.935359321951121	743	920	9120	24880000	117
20221001 202711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	369	TRUE	804409	0.0338428387772257	0.915135864599794	7097	508	10162	26400000	118
20221001 202732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	804409	0.297097135237057	0.629516338953003	6532	107	8401	2.6e+07	119
20221001 202936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	651	TRUE	804409	0.06143740106315	0.315464727342688	7953	22	10547	26270000	120
20221001 203005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	804409	0.118645270999291	0.931868415791728	5882	917	8821	25960000	121
